Complaint ID,Date submitted,Date received,Submitted via,State,Product,Sub-product,Issue,Sub-issue,Company public response,Company response to consumer
3110220,2018-12-27,2018-12-27,Web,CA,"Money transfer, virtual currency, or money service",Domestic (US) money transfer,Money was not available when promised,0,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
3720813,2020-06-29,2020-06-29,Web,GA,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
3683817,2020-06-03,2020-06-04,Referral,GA,Mortgage,Conventional home mortgage,Trouble during payment process,0,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
3375056,2019-09-14,2019-09-14,Web,CA,Checking or savings account,Checking account,Opening an account,Account opened as a result of fraud,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
2555784,2017-06-20,2017-06-21,Referral,FL,Mortgage,Home equity loan or line of credit (HELOC),Trouble during payment process,0,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
2554327,2017-06-20,2017-06-20,Web,GA,Checking or savings account,Checking account,Managing an account,Problem using a debit or ATM card,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
2940456,2018-06-19,2018-06-19,Web,PA,Checking or savings account,Checking account,Closing an account,Fees charged for closing account,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with monetary relief
4238429,2021-03-22,2021-03-23,Referral,CA,Checking or savings account,Savings account,Managing an account,Funds not handled or disbursed as instructed,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
3009973,2018-09-04,2018-09-04,Phone,NY,Checking or savings account,Checking account,Closing an account,Company closed your account,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
4765331,2021-09-29,2021-09-30,Web,LA,Credit card or prepaid card,General-purpose credit card or charge card,Getting a credit card,Sent card you never applied for,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with monetary relief
3385246,2019-09-24,2019-09-24,Web,CA,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account information incorrect,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with monetary relief
3896243,2020-10-13,2020-10-13,Phone,MI,Checking or savings account,Checking account,Managing an account,Deposits and withdrawals,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with non-monetary relief
7357942,2023-08-06,2023-08-06,Web,WA,Checking or savings account,Checking account,Managing an account,Problem using a debit or ATM card,0,In progress
2812998,2018-02-13,2018-02-13,Web,MD,Checking or savings account,Checking account,Problem with a lender or other company charging your account,Money was taken from your account on the wrong day or for the wrong amount,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
2824284,2018-02-24,2018-02-24,Web,MO,Credit card or prepaid card,General-purpose credit card or charge card,Fees or interest,Problem with fees,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with monetary relief
2761554,2017-12-21,2017-12-25,Web,CA,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
3616305,2020-04-21,2020-04-21,Web,FL,Checking or savings account,Checking account,Managing an account,Problem using a debit or ATM card,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
4921915,2021-11-17,2021-11-17,Web,DE,Checking or savings account,Checking account,Managing an account,Problem using a debit or ATM card,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with monetary relief
2792361,2018-01-24,2018-01-24,Web,GA,Checking or savings account,Checking account,Opening an account,Unable to open an account,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with explanation
3752230,2020-07-18,2020-07-18,Web,NY,Checking or savings account,Checking account,Closing an account,Company closed your account,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Closed with non-monetary relief
